name,content
0000.wav,阿拜多斯对策委员会
0002.wav,欢迎您，老师
0003.wav,今天也请多关照
0004.wav,如果有想让我做的事
0006.wav,欢迎您，老师
0007.wav,今天也请多关照
0008.wav,为了帮助老师
0009.wav,我就在这里。为什么一直那样盯着我看？
0011.wav,我的脸上
0013.wav,诶？只是想看看我的脸而已
0014.wav,是、是吗……
0015.wav,像这样一起待着也不错呢
0016.wav,有什么想让我做的事
0017.wav,在想什么呢
0018.wav,有点在意。接下来
0019.wav,打算做什么呢
0020.wav,为了帮助老师
0021.wav,我就在这里……这、这个……
0022.wav,就算被这样摸着
0023.wav,也没什么困扰的
0025.wav,还算挺宽敞的地方呢
0026.wav,用来进行适度运动已经足够了
0027.wav,嗯，下次骑行去哪里好呢
0028.wav,下次骑行去哪里好呢
0030.wav,放学后在做什么工作呢
0031.wav,说起来，到检查重型设备的时间了
0033.wav,心跳停不下来
0034.wav,和老师在一起的话……
0035.wav,总觉得有种不可思议的感觉
0036.wav,老师，告诉我
0037.wav,我所不知道的
0039.wav,想更多地见到老师
0040.wav,从那个瞬间开始
0043.wav,就变成了更加特别的地方
0044.wav,准备好了
0045.wav,OK，参战
0046.wav,嗯……发现敌人……
0047.wav,请下指示，老师
0049.wav,要上了，状态
0050.wav,良好，出发
0051.wav,单元启动，无人机
0052.wav,启动完成，开始火力支援
0053.wav,目标设定完成
0054.wav,支援攻击，以B阵型行动
0055.wav,维持阵型
0056.wav,前进
0058.wav,确保掩体
0059.wav,啧……真是的……
0062.wav,银行是很适合骑行的地方呢
0064.wav,……失误了
0065.wav,抱歉，诶……
0066.wav,呼、呼、调整呼吸
0067.wav,确认完毕，移动吧
0068.wav,是战术上的胜利
0069.wav,清除完成，有备无患
0070.wav,很简单的规则
0071.wav,真是漂亮的公式
0072.wav,老师，对不起
0074.wav,稍微有点力不从心吗
0075.wav,感受到训练的成果了
0076.wav,谢谢您，老师
0077.wav,好像成长了
0078.wav,这也是托老师的福
0079.wav,能感觉到自己在成长
0080.wav,我也稍微变强一点了吗？
0081.wav,嗯，这样的话……
0082.wav,就能成为大家的力量
0083.wav,我的生日
0084.wav,没想到你会记得
0086.wav,当然很开心
0089.wav,生日快乐
0092.wav,要不要一起慢跑？
0095.wav,没有什么特别的记忆
0096.wav,因为城市总是很安静
0098.wav,热闹的岁月
0100.wav,新年快乐
0102.wav,今年也请多关照
0103.wav,圣诞快乐
0104.wav,听说今天是特别的日子
0105.wav,虽然不知道是怎样的特别
0107.wav,不告诉我吗？
0109.wav,阿拜多斯对策委员会
0111.wav,砂狼白子
0113.wav,有什么想让我做的事
0115.wav,在想什么呢
0117.wav,接下来打算做什么呢
0118.wav,为了帮助老师
0121.wav,就算被这样摸着
0122.wav,也没什么困扰的